Avg_Degree,Lower_Bound_R0,Actual_R0,MPC Direct,MPC Lower Bound,MPC R0,Duration Direct,Duration Lower Bound,Duration R0,Avg Interval Direct,Avg Interval Lower Bound,Avg Interval R0
2.05,2.2499999999999982,2.2809220342858287,65.63310734249391,61.27635200466159,61.283645908645596,0.5662187919951975,0.05845695800962858,0.0597610000113491,28.450385913090425,21.29130060723043,21.279557457030283
3.3,3.5995869819393502,3.734226568000715,95.83854587588272,72.74350492345096,72.93491904406923,0.6668750419921707,0.07156254099390935,0.0811337079940131,28.363351762047795,21.29127951826987,21.256995662569754
4.55,4.827708124037969,5.094874345322616,109.4796635590208,79.33957955686294,79.7701809056338,0.9946098749933299,0.08736383299401496,0.08884562499588355,28.293290225291404,21.29129281401813,21.240298278587336
5.8,5.034938791789024,5.747695563010483,118.68460991707045,84.69712943468522,86.30811756175251,0.9963469170033932,0.08334604199626483,0.08720479201292619,28.3245786233709,21.291299067880534,21.15638461679541
7.05,6.0260506443052595,7.005502874508806,124.27045440477711,88.58436892080883,90.76188490020539,1.22833924999577,0.08401754200167488,0.09392916700744536,28.290344892995186,21.291253139784462,21.134715214926306
8.3,6.689533364335899,8.066235666133618,128.0789978072816,91.94445598920228,95.20779750965107,1.398253207997186,0.09434154198970646,0.10459120900486596,28.287153633548193,21.291274982898198,21.08764984548848
9.55,7.160476789603446,9.08122068233254,131.02096757302704,94.85235699186963,99.86411951987208,1.5582680829975288,0.0939028330030851,0.10176416698959656,28.281964371093057,21.291281664780957,21.01649118036819
10.8,7.9522915200480995,10.115093652748644,133.26622990909712,97.25277057123314,102.88372571550119,1.9433409579942236,0.10338074999162927,0.1170904589962447,28.269135875884746,21.28165683601515,20.995656476231385
12.05,8.511883134474118,10.925140173373466,135.17808844374764,99.80966931169431,106.65222266151127,1.9709808750048978,0.09803049999754876,0.1160486670123646,28.297259454850266,21.259521403933494,20.9429302278499
13.3,9.319402564688602,11.95194440187761,136.6117406456182,101.68809654922853,108.94350609345312,1.9583242919907207,0.10307249998732004,0.11508433400013018,28.2907529013206,21.25356396035892,20.93338581879266
14.55,10.259572139070787,13.061069788528624,137.71378901294992,103.86968864839164,111.78993114872974,2.5381425420055166,0.10389854200184345,0.11775570799363777,28.283296715296366,21.22406327038698,20.89319221358164
15.8,10.976991097639043,14.081713260592188,138.69338401892705,105.99333849714981,115.2295665491765,2.6688082500040764,0.11488337499031331,0.12223983400326688,28.28406514104382,21.198963622128975,24.998897187568772
17.05,11.339273167265372,15.115141365093612,139.53570975252364,106.97206590663264,118.05006028223076,2.6876210409973282,0.11989050000556745,0.13253070799692068,28.284445890974343,21.21494256904411,24.941059508064246
