Avg_Degree,Lower_Bound_R0,Actual_R0,Difference 1,Difference 2,Difference 3,Duration Direct,Duration Lower Bound,Duration R0
2.05,2.2499999999999982,2.2809220342858287,4.356755337832325,0.007293903984006533,4.349461433848319,0.5639740420010639,0.05652033300430048,0.05983104099868797
3.3,3.5995869819393502,3.734226568000715,23.09504095243176,0.19141412061827623,22.903626831813483,0.6797868749999907,0.07131299999309704,0.07474758299940731
4.55,4.827708124037969,5.094874345322616,30.140084002157863,0.43060134877084977,29.709482653387013,0.971034125002916,0.08024187499540858,0.0849533330037957
5.8,5.034938791789024,5.747695563010483,33.98748048238522,1.6109881270672872,32.376492355317936,0.9584345830080565,0.0800922499911394,0.08531283399497624
7.05,6.0260506443052595,7.005502874508806,35.686085483968284,2.17751597939656,33.508569504571724,1.180262790992856,0.0826897080114577,0.0939877089986112
8.3,6.689533364335899,8.066235666133618,36.13454181807933,3.2633415204487903,32.87120029763054,1.382233084004838,0.08677975001046434,0.09620766699663363
9.55,7.160476789603446,9.08122068233254,36.16861058115741,5.01176252800245,31.15684805315496,1.529533791996073,0.09047633298905566,0.09565254100016318
10.8,7.9522915200480995,10.115093652748644,36.01345933786398,5.630955144268043,30.382504193595935,1.8414125419949414,0.09182249999139458,0.1064375830028439
12.05,8.511883134474118,10.925140173373466,35.36841913205333,6.842553349816967,28.525865782236366,1.9735395000025164,0.09652216600079555,0.11543554200034123
13.3,9.319402564688602,11.95194440187761,34.923644096389665,7.255409544224591,27.668234552165075,1.9193192499951692,0.1024887499952456,0.1124662910006009
14.55,10.259572139070787,13.061069788528624,33.84410036455827,7.920242500338091,25.92385786422018,2.47256737499265,0.10391104100563098,0.11421295900072437
15.8,10.976991097639043,14.081713260592188,32.70004552177724,9.23622805202669,23.463817469750552,2.6464848750038072,0.11533904199313838,0.1292342090018792
17.05,11.339273167265372,15.115141365093612,32.56364384589101,11.077994375598124,21.485649470292884,2.62570954200055,0.11635729200497735,0.13259266600653064
18.3,12.433041169532927,16.049234874405325,30.0439435971563,11.72116418382707,18.32277941332923,3.167941333987983,0.13697783299721777,0.15197104199614841
19.55,13.22124774503337,17.288254824740296,30.28800787427356,11.791190519882065,18.496817354391496,3.591396874995553,0.1325624169985531,0.1430893329961691
20.8,14.163853615027953,18.452399488687377,30.079849944938132,11.440457436916006,18.639392508022127,3.534290832991246,0.14333387500664685,0.14898479099792894
22.05,15.229636502601615,19.63611760749815,29.43668959567907,11.039276187585898,18.397413408093172,3.9405595419957535,0.13661233300808817,0.15342950000194833
23.3,16.754357498498255,20.753018246379646,27.542258495010117,9.902493304206217,17.6397651908039,4.0086758749966975,0.1549933750065975,0.16572008300863672
24.55,17.673196700695428,21.740805108037268,26.271938707025484,10.021066936328538,16.250871770696946,4.145569333006279,0.16078887500043493,0.1665178750117775
25.8,18.7587261821615,22.85240171282256,26.040314526708514,9.437538237220267,16.602776289488247,4.537859334013774,0.164517541998066,0.17223895899951458
27.05,21.029515197341276,23.976598218157317,22.99455034407204,6.679771868356184,16.314778475715855,4.776103665994015,0.16641645900381263,0.17234000000462402
28.3,22.132064346477122,24.802299985808954,21.01410214691475,6.053693475391981,14.96040867152277,4.7105848339997465,0.17604583300999366,0.1736226670036558
29.55,23.11948801680177,25.773774330692312,19.23299923575108,5.867072926079587,13.365926309671494,5.137145875007263,0.1798741670063464,0.17751950000820216
