Average Degree,Difference (Max Infection - Max Lower Bound),Difference (Max R Number - Max Lower Bound),Difference (Max Infection - Max R Number)
2.033333333333333,3.806772254665411,0.004830574238553709,3.8019416804268573
3.2,23.49436675381598,0.37814191558211974,23.11622483823386
4.366666666666666,29.681931072615555,1.0016896069680001,28.680241465647555
5.533333333333333,32.70440023173953,1.757609718485341,30.946790513254186
6.7,34.5109748934982,3.4541219272236106,31.05685296627459
7.866666666666666,35.36104792809982,4.863273038332949,30.497774889766873
9.033333333333333,35.67890964706106,5.00112797357535,30.67778167348571
10.2,35.71107609146078,6.661311863174518,29.049764228286264
11.366666666666667,35.6440996610023,6.423082637319666,29.221017023682634
12.533333333333333,35.26390127079215,7.1588824874789765,28.10501878331317
13.7,33.86353006180083,6.716560150962948,27.146969910837882
14.866666666666667,33.85287918446785,7.77591026087164,26.076968923596212
16.033333333333335,33.27568132533624,7.943078953427616,25.33260237190862
17.2,32.32737639867979,9.274945543555006,23.052430855124783
18.366666666666667,32.26263050969048,10.095271134628007,22.167359375062475
19.533333333333335,30.35168341355238,8.190927701775678,22.1607557117767
20.7,30.02096050973526,8.741785398647778,21.279175111087483
21.866666666666667,28.990600710995068,8.6306998749194,20.359900836075667
23.033333333333335,27.090056588523908,8.847434681167542,18.242621907356366
24.2,25.121769782521113,8.955999237604871,16.165770544916242
25.366666666666667,23.957937095762006,8.533665170562955,15.42427192519905
26.533333333333335,24.381061338101603,9.178997365444587,15.202063972657015
27.7,25.00905742567852,9.62566086474618,15.38339656093234
28.866666666666667,23.951450205751016,8.907027542508402,15.044422663242614
30.033333333333335,23.164696264120025,8.364114268828999,14.800581995291026
31.2,23.701086060497346,8.748070816076591,14.953015244420754
32.36666666666667,23.316201278924268,8.560671413710423,14.755529865213845
33.53333333333333,21.988179203249146,7.980792458794738,14.007386744454408
34.7,22.079738187701906,7.886401829058713,14.193336358643194
35.86666666666667,20.380036138215146,7.463335059976302,12.916701078238845
37.03333333333333,20.349718066255647,8.353585557033384,11.996132509222264
38.2,19.41740709067551,8.02444108295677,11.39296600771874
39.36666666666667,19.79431670964432,8.679559258001305,11.114757451643015
40.53333333333333,18.673958890834086,7.7873112726196325,10.886647618214454
41.7,18.52622019444449,8.146427215463277,10.379792978981214
42.86666666666667,18.213860420307896,8.33599896243416,9.877861457873735
44.03333333333333,18.18190981304393,9.020603735472335,9.161306077571595
45.2,15.451607878397937,6.911129668449149,8.540478209948787
46.36666666666667,13.643163703010629,10.844783825718679,2.79837987729195
47.53333333333333,12.862074846640525,10.247422924813492,2.6146519218270328
48.7,13.095025994279382,10.189196319233702,2.9058296750456805
49.86666666666667,10.842952497194432,8.125525753644467,2.7174267435499644
51.03333333333333,10.362121611403552,2.67508623824412,7.687035373159432
52.2,10.04009801849844,2.482267876924169,7.5578301415742715
53.36666666666667,10.883222862431325,2.9964217270064353,7.886801135424889
54.53333333333333,10.567134105924794,2.975501760518881,7.5916323454059125
55.7,9.321761568927315,1.9142006569891805,7.407560911938134
56.86666666666667,9.338919911745194,2.0276537024339234,7.31126620931127
58.03333333333333,8.313795423694302,1.333285176991751,6.980510246702551
59.0,7.007268451755806,1.940666291488924e-05,7.007249045092891
59.0,7.007268451755806,1.940666291488924e-05,7.007249045092891
