Avg_Degree,Lower_Bound_R0,Actual_R0
2.033333333333333,2.2500000000000036,2.2778261440531757
2.6333333333333333,2.812689357858427,2.8621367999231158
3.2333333333333334,3.138385018820216,3.4468683633797146
3.8333333333333335,3.9313803813744004,4.363552750646951
4.433333333333334,4.344990423895552,4.991689617704727
5.033333333333333,5.010576196030143,5.814327648434501
5.633333333333334,5.447246090423173,6.301055735656204
6.233333333333333,5.6926171048749445,6.677995572780387
6.833333333333333,6.079808238292565,7.251533273241893
7.433333333333334,6.195451855077276,7.583881659181902
8.033333333333333,6.661111471474026,8.209896263884804
8.633333333333333,7.271299333356815,8.886388913879077
9.233333333333333,7.415402760951402,9.273997228419223
9.833333333333334,7.856936590291328,9.766605305179263
10.433333333333334,8.15873629963276,10.221028014746857
11.033333333333333,8.37724712076903,10.59679859631213
11.633333333333333,8.768395235246324,11.062316440050433
12.233333333333333,8.950716579844894,11.437145989272741
12.833333333333334,9.397384760839778,11.875752462731219
13.433333333333334,9.955742561294212,12.58063125638414
14.033333333333333,10.485983311081815,13.126916325480323
14.633333333333333,10.80959701945249,13.64316974569239
15.233333333333333,11.367946686713712,14.161823945553273
15.833333333333334,11.711458295526716,14.65846478185324
16.433333333333334,12.149976172039594,15.131786177316544
17.033333333333335,12.310277757665066,15.592959893290434
17.633333333333333,12.658158427879098,16.13065766099921
18.233333333333334,13.183437379225087,16.62523073454927
18.833333333333332,13.489171760806435,17.095026501682145
19.433333333333334,13.865082902623563,17.53792733705922
20.033333333333335,14.333432752279307,18.018583869876764
20.633333333333333,14.761268232011263,18.554314597246833
21.233333333333334,15.126302667188416,19.01570391947028
21.833333333333332,15.619604415158081,19.441851543422935
22.433333333333334,16.06596102395929,19.925846663744814
23.033333333333335,16.284183185947562,20.473392934305373
23.633333333333333,16.526763713268295,20.92411847839129
24.233333333333334,16.70365703019996,21.43817611551187
24.833333333333332,16.93804395380768,22.063275544643457
25.433333333333334,18.01123444697018,22.630460023227972
26.033333333333335,18.395805892892454,23.150786811560327
26.633333333333333,19.12561398759801,23.72327530021036
27.233333333333334,19.808411328497357,24.245945930558076
27.833333333333332,20.283296615299093,24.753584294332015
28.433333333333334,21.062781814601955,25.2386540120726
29.033333333333335,21.404856766375147,25.690123613073727
29.633333333333333,21.99578531891396,26.118148894000285
30.233333333333334,22.20514945967674,26.561638015580783
30.833333333333332,22.634682708093052,27.11587324241604
31.433333333333334,22.75925143270606,27.559286233662096
32.03333333333333,23.405657220665674,28.114023875192125
32.63333333333333,23.521524086794827,28.542543497965955
33.233333333333334,23.89125188689537,29.134141135323052
33.833333333333336,24.277356685716065,29.684529738829944
34.43333333333333,24.832112213161253,30.2865404721513
35.03333333333333,25.829868534287435,30.77195530550255
35.63333333333333,26.50860850869477,31.20080443657494
36.233333333333334,27.52021291998497,31.755927031912424
36.833333333333336,28.045638382776684,32.235562812309475
37.43333333333333,28.073322792884603,32.68778891466924
38.03333333333333,28.60553738868981,33.31023994005959
38.63333333333333,29.76868777716554,33.96693852735408
39.233333333333334,30.524108088475565,34.45424403187778
39.833333333333336,31.035710190441243,34.91631614903381
40.43333333333333,31.333206101235525,35.47043360393635
41.03333333333333,32.157284616378504,36.01255302674363
41.63333333333333,32.99213764730175,36.601435483349306
42.233333333333334,33.277345769802594,36.99207145506245
42.833333333333336,33.6326396954278,37.527501097979474
43.43333333333333,34.01697680489282,38.00625536431926
44.03333333333333,34.3471736569621,38.482031405158736
44.63333333333333,34.82177784910888,38.976163772222925
45.233333333333334,35.7396854261493,39.409915739276315
45.833333333333336,36.2595925147915,39.917190385369764
46.43333333333333,36.120574502900304,40.33115850007163
47.03333333333333,37.08407208048094,40.76700093179064
47.63333333333333,37.32890558319176,41.2661174493543
48.233333333333334,37.48859807454131,41.784259839382045
48.833333333333336,38.45303883360201,42.265316625309076
49.43333333333333,38.86504028454402,42.76838171366468
50.03333333333333,40.609820666458525,43.29382592270731
50.63333333333333,41.47429449737477,43.78785198565746
51.233333333333334,41.814057428232324,44.21781379089765
51.833333333333336,42.476750788629104,44.777012194906426
52.43333333333333,42.82659321866171,45.20926439364741
53.03333333333333,43.492723827001285,45.73319583010792
53.63333333333333,43.72805403679987,46.237503488248215
54.233333333333334,44.15326456676699,46.74882296322997
54.833333333333336,44.53715939571886,47.27329698687585
55.43333333333333,45.70282910385484,47.82318313472612
56.03333333333333,46.16566550236405,48.22418382987658
56.63333333333333,46.15423132551498,48.76408830008717
57.233333333333334,46.51565830686174,49.29869816808001
57.833333333333336,47.56913810983662,49.79148196111444
58.43333333333333,49.144453382268374,50.34100440015953
59.0,50.80882059519337,50.80882059519344
2.033333333333333,2.2500000000000036,2.2778261440531757
2.6333333333333333,2.812689357858427,2.8621367999231158
3.2333333333333334,3.138385018820216,3.4468683633797146
3.8333333333333335,3.9313803813744004,4.363552750646951
4.433333333333334,4.344990423895552,4.991689617704727
5.033333333333333,5.010576196030143,5.814327648434501
5.633333333333334,5.447246090423173,6.301055735656204
6.233333333333333,5.6926171048749445,6.677995572780387
6.833333333333333,6.079808238292565,7.251533273241893
7.433333333333334,6.195451855077276,7.583881659181902
8.033333333333333,6.661111471474026,8.209896263884804
